Archivo, Tiempo de Apertura (segundos)
002.html, 0.009211
003.html, 0.001402
004.html, 0.001354
005.html, 0.008223
006.html, 0.000904
007.html, 0.011523
008.html, 0.001667
009.html, 0.031865
010.html, 0.001432
011.html, 0.003642
012.html, 0.001224
013.html, 0.005722
014.html, 0.007763
015.html, 0.000860
016.html, 0.001356
017.html, 0.003044
018.html, 0.002201
019.html, 0.009676
020.html, 0.000854
021.html, 0.001791
022.html, 0.011040
023.html, 0.001041
024.html, 0.000954
025.html, 0.004135
026.html, 0.002790
027.html, 0.018569
028.html, 0.002532
029.html, 0.010313
030.html, 0.001739
031.html, 0.001677
032.html, 0.000810
033.html, 0.001371
034.html, 0.002936
035.html, 0.000741
036.html, 0.003052
037.html, 0.006666
038.html, 0.002010
039.html, 0.001653
040.html, 0.007034
041.html, 0.002240
042.html, 0.002444
043.html, 0.049284
044.html, 0.002168
045.html, 0.000570
046.html, 0.001804
047.html, 0.003214
048.html, 0.001132
049.html, 0.000794
050.html, 0.002765
051.html, 0.001495
052.html, 0.001790
053.html, 0.001762
054.html, 0.002839
055.html, 0.001441
056.html, 0.000412
057.html, 0.001307
058.html, 0.001779
059.html, 0.001046
060.html, 0.025917
061.html, 0.001497
062.html, 0.001205
063.html, 0.001257
064.html, 0.002581
065.html, 0.001116
066.html, 0.004448
067.html, 0.001479
068.html, 0.001248
069.html, 0.002397
070.html, 0.001508
071.html, 0.001114
072.html, 0.000942
073.html, 0.001063
074.html, 0.002563
075.html, 0.017488
076.html, 0.009911
077.html, 0.001673
078.html, 0.002009
079.html, 0.001452
080.html, 0.025497
081.html, 0.001276
082.html, 0.004076
083.html, 0.001385
084.html, 0.001180
085.html, 0.001492
086.html, 0.001765
087.html, 0.002384
088.html, 0.002163
089.html, 0.001192
090.html, 0.000676
091.html, 0.002348
092.html, 0.001041
093.html, 0.000754
094.html, 0.001219
095.html, 0.002665
096.html, 0.001001
097.html, 0.000880
098.html, 0.001390
099.html, 0.001969
100.html, 0.000887
101.html, 0.003841
102.html, 0.000571
103.html, 0.001239
104.html, 0.001049
105.html, 0.002067
106.html, 0.027116
107.html, 0.000638
108.html, 0.001455
109.html, 0.001084
110.html, 0.001025
111.html, 0.000465
112.html, 0.001924
113.html, 0.001637
114.html, 0.003493
115.html, 0.027372
116.html, 0.001036
117.html, 0.002085
118.html, 0.073186
119.html, 0.004446
120.html, 0.002627
121.html, 0.001094
122.html, 0.021482
123.html, 0.002095
124.html, 0.002757
125.html, 0.000986
126.html, 0.001927
127.html, 0.000885
128.html, 0.001181
129.html, 0.033708
130.html, 0.000384
131.html, 0.000917
132.html, 0.001182
133.html, 0.004543
134.html, 0.001265
135.html, 0.000997
136.html, 0.031203
137.html, 0.018815
138.html, 0.000803
139.html, 0.001576
140.html, 0.000680
141.html, 0.035573
142.html, 0.000774
143.html, 0.000767
144.html, 0.000947
145.html, 0.001775
146.html, 0.005644
147.html, 0.009879
148.html, 0.000785
149.html, 0.001189
150.html, 0.004978
151.html, 0.001863
152.html, 0.104238
153.html, 0.000411
154.html, 0.004948
155.html, 0.000908
156.html, 0.005860
157.html, 0.000584
158.html, 0.000650
159.html, 0.003104
160.html, 0.002568
161.html, 0.046015
162.html, 0.012276
163.html, 0.001309
164.html, 0.002956
165.html, 0.000891
166.html, 0.004967
167.html, 0.001702
168.html, 0.001551
169.html, 0.000653
170.html, 0.001337
171.html, 0.000847
172.html, 0.001316
173.html, 0.002970
174.html, 0.016407
175.html, 0.001431
176.html, 0.016312
177.html, 0.001930
178.html, 0.001424
179.html, 0.009713
180.html, 0.000914
181.html, 0.017069
182.html, 0.001088
183.html, 0.009860
184.html, 0.001834
185.html, 0.002021
186.html, 0.000932
187.html, 0.001223
188.html, 0.001437
189.html, 0.006915
190.html, 0.001813
191.html, 0.001340
192.html, 0.015090
193.html, 0.007401
194.html, 0.006698
195.html, 0.001931
196.html, 0.001468
197.html, 0.002552
198.html, 0.001269
199.html, 0.013738
200.html, 0.001056
201.html, 0.000875
202.html, 0.001913
203.html, 0.009525
204.html, 0.001980
205.html, 0.003598
206.html, 0.001667
207.html, 0.002935
208.html, 0.000979
209.html, 0.003411
210.html, 0.001051
211.html, 0.001580
212.html, 0.001122
213.html, 0.021665
214.html, 0.000865
215.html, 0.002931
216.html, 0.001332
217.html, 0.001049
218.html, 0.001107
219.html, 0.001137
220.html, 0.010933
221.html, 0.015850
222.html, 0.004909
223.html, 0.004097
224.html, 0.002044
225.html, 0.001155
226.html, 0.006279
227.html, 0.000493
228.html, 0.000774
229.html, 0.001691
230.html, 0.028349
231.html, 0.001964
232.html, 0.004736
233.html, 0.005670
234.html, 0.011501
235.html, 0.009426
236.html, 0.004221
237.html, 0.004600
238.html, 0.002644
239.html, 0.005343
240.html, 0.010819
241.html, 0.004704
242.html, 0.007828
243.html, 0.014438
244.html, 0.008607
245.html, 0.003923
246.html, 0.006891
247.html, 0.011378
248.html, 0.003555
249.html, 0.022339
250.html, 0.005542
251.html, 0.012208
252.html, 0.009973
253.html, 0.003476
254.html, 0.007961
255.html, 0.001834
256.html, 0.004988
257.html, 0.003731
258.html, 0.008383
259.html, 0.005560
260.html, 0.011028
261.html, 0.002120
262.html, 0.003197
263.html, 0.002660
264.html, 0.003381
265.html, 0.002561
266.html, 0.006145
267.html, 0.008636
268.html, 0.002723
269.html, 0.014992
270.html, 0.003544
271.html, 0.003799
272.html, 0.008678
273.html, 0.004862
274.html, 0.003343
275.html, 0.004741
276.html, 0.005822
277.html, 0.006435
278.html, 0.004721
279.html, 0.014474
280.html, 0.009775
281.html, 0.011405
282.html, 0.016751
283.html, 0.006453
284.html, 0.005904
285.html, 0.006520
286.html, 0.005797
287.html, 0.007991
288.html, 0.003097
289.html, 0.021263
290.html, 0.005270
291.html, 0.004864
292.html, 0.011496
293.html, 0.002121
294.html, 0.002296
295.html, 0.005174
296.html, 0.002120
297.html, 0.002750
298.html, 0.016537
299.html, 0.010823
300.html, 0.002824
301.html, 0.005873
302.html, 0.003575
303.html, 0.014931
304.html, 0.018184
305.html, 0.002645
306.html, 0.002517
307.html, 0.017983
308.html, 0.010059
309.html, 0.014858
310.html, 0.007134
311.html, 0.006444
312.html, 0.001770
313.html, 0.003967
314.html, 0.002541
315.html, 0.005864
316.html, 0.002938
317.html, 0.001700
318.html, 0.003812
319.html, 0.001933
320.html, 0.003422
321.html, 0.002638
322.html, 0.003016
323.html, 0.007586
324.html, 0.002006
325.html, 0.010560
326.html, 0.008951
327.html, 0.002345
328.html, 0.008123
329.html, 0.004446
330.html, 0.003405
331.html, 0.011902
332.html, 0.003772
333.html, 0.018231
334.html, 0.006858
335.html, 0.005194
336.html, 0.013856
337.html, 0.008311
338.html, 0.359338
339.html, 0.015184
340.html, 0.016987
341.html, 0.015649
342.html, 0.016465
343.html, 0.012275
344.html, 0.015156
345.html, 0.013890
346.html, 0.020430
347.html, 0.017333
348.html, 0.014750
349.html, 0.035486
350.html, 0.015089
351.html, 0.020678
352.html, 0.014679
353.html, 0.012648
354.html, 0.320668
355.html, 0.022800
356.html, 0.007784
357.html, 0.006319
358.html, 0.017777
359.html, 0.014757
360.html, 0.018799
361.html, 0.240278
362.html, 0.012155
363.html, 0.014781
364.html, 0.023478
365.html, 0.014833
366.html, 0.016782
367.html, 0.012428
368.html, 0.013662
369.html, 0.016032
370.html, 0.016382
371.html, 0.308114
372.html, 0.014978
373.html, 0.025618
374.html, 0.017731
375.html, 0.018412
376.html, 0.017494
377.html, 0.018447
378.html, 0.033602
379.html, 0.033763
380.html, 0.010192
381.html, 0.079368
382.html, 0.073435
383.html, 0.092938
384.html, 0.044765
385.html, 0.055372
386.html, 0.032111
387.html, 0.020543
388.html, 0.046823
389.html, 0.064115
390.html, 0.073089
391.html, 0.044374
392.html, 0.056683
393.html, 0.055288
394.html, 0.038703
395.html, 0.039825
396.html, 0.020922
397.html, 0.070866
398.html, 0.036323
399.html, 0.014566
400.html, 0.018800
401.html, 0.035043
402.html, 0.012836
403.html, 0.028281
404.html, 0.014415
405.html, 0.030868
406.html, 0.012677
407.html, 0.034266
408.html, 0.003282
409.html, 0.014018
410.html, 0.030785
411.html, 0.017429
412.html, 0.038131
413.html, 0.017510
414.html, 0.028646
415.html, 0.012584
416.html, 0.031008
417.html, 0.012985
418.html, 0.029807
419.html, 0.003700
420.html, 0.014340
421.html, 0.032932
422.html, 0.010558
423.html, 0.033944
424.html, 0.011143
425.html, 0.034344
426.html, 0.003372
427.html, 0.003212
428.html, 0.002097
429.html, 0.024208
430.html, 0.009922
431.html, 0.036341
432.html, 0.015561
433.html, 0.167590
434.html, 0.130828
435.html, 0.136414
436.html, 0.106107
437.html, 0.113095
438.html, 0.014147
439.html, 0.010562
440.html, 0.013074
441.html, 0.012242
442.html, 0.007289
443.html, 0.013735
444.html, 0.016647
445.html, 0.004472
446.html, 0.003186
447.html, 0.004565
448.html, 0.001719
449.html, 0.001027
450.html, 0.001566
451.html, 0.001232
452.html, 0.001227
453.html, 0.005006
454.html, 0.003979
455.html, 0.000766
456.html, 0.001143
457.html, 0.001038
458.html, 0.001373
459.html, 0.018949
460.html, 0.001361
461.html, 0.011904
462.html, 0.018857
463.html, 0.010930
464.html, 0.010034
465.html, 0.003175
466.html, 0.002372
467.html, 0.000715
468.html, 0.002636
469.html, 0.001762
470.html, 0.000785
471.html, 0.001672
472.html, 0.000911
473.html, 0.001530
474.html, 0.001382
475.html, 0.002562
476.html, 0.003281
477.html, 0.001173
478.html, 0.001494
479.html, 0.001772
480.html, 0.000991
481.html, 0.001575
482.html, 0.002408
483.html, 0.002192
484.html, 0.005488
485.html, 0.001380
486.html, 0.002173
487.html, 0.001184
488.html, 0.000588
489.html, 0.001118
490.html, 0.001465
491.html, 0.001168
492.html, 0.007338
493.html, 0.001146
494.html, 0.035870
495.html, 0.001130
496.html, 0.000807
497.html, 0.001411
498.html, 0.020133
499.html, 0.002963
500.html, 0.003694
501.html, 0.004800
502.html, 0.003455
503.html, 0.003507
hard.html, 0.000643
medium.html, 0.000597
simple.html, 0.000514

Tiempo total en abrir los archivos: 6.489368 segundos
Tiempo total de ejecucion: 6.609689 segundos
