Token,Cantidad de documentos que lo contienen,Posicion del primer registro en posting
a,2,0
addiction,1,2
also,1,3
an,1,4
and,4,5
as,1,9
 ,2,10
!,3,12
!!,5,15
!!free,1,20
!szentmihalyi,1,21
"""",9,22
"""""a",1,31
"""""holocaust""""",1,32
"""""vic""""",1,33
"""(1)",1,34
"""(2)",1,35
"""(3)",1,36
"""(4)",1,37
"""(5)",1,38
"""(a)",1,39
"""(b)",1,40
"""(c)",1,41
"""(d)",1,42
"""(ding,",1,43
"""(e)",1,44
"""(g)",1,45
"""(hong",1,46
"""(i)",1,47
"""(ii)",1,48
"""*",1,49
"""-az",1,50
""".",1,51
"""...",3,52
"""...a",1,55
"""...akár",1,56
"""...es",1,57
"""...ha",1,58
"""...hogy",1,59
"""...is",1,60
"""...link",1,61
"""...olyan",1,62
"""...semmik",1,63
"""...szegyellem",1,64
"""...we",1,65
"""122.",1,66
"""1984""",1,67
"""1994.",1,68
"""1996marcius",1,69
"""20-25",1,70
"""24",1,71
"""24.",1,72
"""2801.",1,73
"""2802.",1,74
"""2803.",1,75
"""2804.",1,76
"""2805.",1,77
"""3.5",1,78
"""301-es",1,79
"""56-os",1,80
"""60",2,81
"""600milliard",1,83
"""629",1,84
"""730",1,85
""":work",1,86
"""?diving",1,87
"""[a]",1,88
"""[a]lmost",1,89
"""[a]t",1,90
"""[c]ommunications",1,91
"""[f]oreign",1,92
"""[i]t",1,93
"""[n]o",1,94
"""[o]nce",1,95
"""[p]laintiffs",1,96
"""[p]ornography",1,97
"""[rump]",1,98
"""[t]he",1,99
"""[t]here",1,100
"""[u]nlike",1,101
"""a",47,102
"""a""",4,149
"""a""ovezetben",1,153
"""a""ovezetet.ftp://ftp.ifi.uio.no/pub/pgp-----begin",1,154
"""aaa's",1,155
"""abban",1,156
"""abolition",1,157
"""abolition-caucus""",1,158
"""about",1,159
"""acrisis",1,160
"""act"")[1]",1,161
"""acting",1,162
"""active",2,163
"""actual",1,165
"""actuality""",1,166
"""ad",1,167
"""adalekul",1,168
"""add",1,169
"""addig",1,170
"""additional",1,171
"""ademokrata""",1,172
"""adj",1,173
"""adja",1,174
"""adjunktus""-kent",1,175
"""adossag",1,176
"""adossagcsokkentest""",1,177
"""adossagleirasi",1,178
"""adult",1,179
"""adultcheck.""",1,180
"""after",1,181
"""against",1,182
"""agamemnon""",1,183
"""age",1,184
"""agree""",1,185
"""agreed",2,186
"""aide",1,188
"""aimed",1,189
"""airlines",1,190
"""akasztofat,",1,191
"""aki",3,192
"""akik",1,195
"""akiket",1,196
"""alakerdezo""",1,197
"""alakult",1,198
"""alapja""",1,199
"""alapszerzodes""",1,200
"""alapszerzodes"",",1,201
"""alapszerzodesi""",1,202
"""alapszerzodest"",",1,203
"""alapvetoen",1,204
"""albania",1,205
"""alcoholic",1,206
"""aldozat""",1,207
"""aldozatokat""",1,208
"""aljas",1,209
"""alkalmas",1,210
"""alkotmany""",1,211
"""alkotmanyba""",1,212
"""alkotmanyba"",",1,213
"""alkotmanykoncepcio""",1,214
"""alkotmanykoncepcio?latta",1,215
"""alkotmanyt""",1,216
"""alkotmanyuk""",1,217
"""alkotmányozásra",1,218
"""alkotoi""",1,219
"""all",6,220
"""allamferfi""",1,226
"""allando""",1,227
"""alliberalis",2,228
"""alltatok",1,230
"""altalanos",1,231
"""alternativ""",1,232
"""although",1,233
"""altortenelem""",1,234
"""alulirottak",1,235
"""always""",1,236
"""alyosha""",1,237
"""alyosha,""",1,238
"""amadeus""",1,239
"""amennyiben",1,240
"""american",1,241
"""amerikai""",1,242
"""amerikamajmolasnak""velnek.",1,243
"""ami",2,244
"""amici",1,246
"""amig",1,247
"""amikor",1,248
"""an",11,249
"""anatomy",1,260
"""and",2,261
"""anglianak",1,263
"""annak",1,264
"""anomalies,""",1,265
"""antall",2,266
"""antalli",1,268
"""anti-hero""",1,269
"""antigone""",1,270
"""antiszemi-tizmus""",1,271
"""antiszemitizmust""",1,272
"""any",5,273
"""anyone",1,278
"""anyunak",1,279
"""anyway,",1,280
"""apartheid""",1,281
"""apologist",1,282
"""apology"",",1,283
"""apparátus""",1,284
"""apple",1,285
"""applies",1,286
"""appreciated""",1,287
"""aprankenti",1,288
"""aprosag"":",1,289
"""aramlott"",",1,290
"""aranygep"".",1,291
"""are",1,292
"""areginalra""",1,293
"""areopagitica"",",1,294
"""arja"",",1,295
"""arnold",1,296
"""arpad""",1,297
"""arra",1,298
"""art""",1,299
"""artatlan""",1,300
"""artatlansagat""",1,301
"""artificial",1,302
"""artistic",1,303
"""as",8,304
"""asia/pacific",1,312
"""asian",1,313
"""asians",1,314
"""asset""",1,315
"""astrophil",1,316
"""aszuk,",1,317
"""at",2,318
"""atmeneti""",1,320
"""atomgombot""",1,321
"""atszervezes""",1,322
"""attempt",1,323
"""attetelesen""",1,324
"""attractive",1,325
"""atvilagitana""onmagat,",1,326
"""aucassin",1,327
"""ausztria",1,328
"""authentic""",1,329
"""authoritarian",1,330
"""automotive""",1,331
"""autonomy""",1,332
"""autonomy,""",1,333
"""available",1,334
"""avid""",1,335
"""az",20,336
"""az""",1,356
"""az,",1,357
"""azemigracioba",1,358
"""azert",1,359
"""azesemeny",1,360
"""azokkal",1,361
"""azonnali",1,362
"""azt",1,363
"""aztovabbra",1,364
"""azunio",1,365
"""b",1,366
"""b""",2,367
"""b""ovezet",1,369
"""b)",1,370
"""babylon",1,371
